sku,product_name,price,category_name,url
GEN-EMA29,Emark Laptop Pn 1574P 1038Ng7,128930.0,Offers,https://www.lifestore.lk/product/emark-laptop-pn-1574p-1038ng7
GEN-CUD41,Cudy Ax1800 Wi Fi 6 Mesh System Twin Pack,45200.0,Offers,https://www.lifestore.lk/product/cudy-ax1800-wi-fi-6-mesh-system-twin-pack
GEN-BRA16,Bravo Power Tank,5635.0,Offers,https://www.lifestore.lk/product/bravo-power-tank
GEN-EMA21,Emark Laptop Pn 1570P,70995.0,Offers,https://www.lifestore.lk/product/emark-laptop-pn-1570p
GEN-EMA18,Emark Gm4 Mini Ups,11410.0,Offers,https://www.lifestore.lk/product/emark-gm4-mini-ups
GEN-CLE32,Clean Power Mini Surge Protector,4795.0,Offers,https://www.lifestore.lk/product/clean-power-mini-surge-protector
GEN-D L34,D Link Ac1200 Wi Fi Range Extender,15045.0,Offers,https://www.lifestore.lk/product/d-link-ac1200-wi-fi-range-extender
GEN-COM27,Comstox Si001 Cli Telephone,5325.0,Offers,https://www.lifestore.lk/product/comstox-si001-cli-telephone
GEN-CUD43,Cudy Ax1800 Wi Fi 6 Mesh System Triple Pack,62895.0,Offers,https://www.lifestore.lk/product/cudy-ax1800-wi-fi-6-mesh-system-triple-pack
GEN-EMA28,Emark Laptop Pn1574P 1068Ng7,145970.0,Offers,https://www.lifestore.lk/product/emark-laptop-pn1574p-1068ng7
GEN-BAS28,Basic Pstn Phone D Top Dt100,3360.0,Offers,https://www.lifestore.lk/product/basic-pstn-phone-d-top-dt100
GEN-ALC27,Alcatel T28 Basic Telephone,5595.0,Offers,https://www.lifestore.lk/product/alcatel-t28-basic-telephone
GEN-TP 30,Tp Link Wireless N Usb Adapter,2115.0,Wi-Fi Devices,https://www.lifestore.lk/product/tp-link-wireless-n-usb-adapter
GEN-PRO28,Prolink Wireless Usb Adapter,5540.0,Wi-Fi Devices,https://www.lifestore.lk/product/prolink-wireless-usb-adapter
GEN-CUD36,Cudy Ac1200 Dual Band Range Extender,14380.0,Wi-Fi Devices,https://www.lifestore.lk/product/cudy-ac1200-dual-band-range-extender
GEN-TEN36,Tenda Mx3 2 Pack Mesh Wi Fi 6 System,26625.0,Wi-Fi Devices,https://www.lifestore.lk/product/tenda-mx3-2-pack-mesh-wi-fi-6-system
